team_id,GW1,GW2,GW3,GW4,GW5,DGW5,GW6,DGW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34
ADO,AZ (A),GRO (H),GAE (A),FEY (A),FOR (H),,TWE (A),,CAM (H),TEL (A),PSV (H),HEE (H),PEC (A),SPA (H),AJA (A),UTR (H),EXC (H),WIL (A),NEC (A),TEL (H),PEC (H),PSV (A),GAE (H),FOR (A),UTR (A),TWE (H),AJA (H),CAM (A),WIL (H),SPA (A),FEY (H),HEE (A),GRO (A),NEC (H),EXC (A),AZ (H)
AJA,PEC (A),HEE (H),,TEL (A),PSV (H),,FOR (A),WIL (H),EXC (H),NEC (H),GRO (A),SPA (A),AZ (H),TWE (A),ADO (H),FEY (A),UTR (H),CAM (H),GAE (A),WIL (A),GRO (H),TEL (H),HEE (A),EXC (A),GAE (H),FEY (H),ADO (A),PEC (H),NEC (A),TWE (H),UTR (A),PSV (A),FOR (H),AZ (A),SPA (H),CAM (A)
AZ,ADO (H),UTR (A),FOR (A),GAE (H),HEE (A),,WIL (H),,TEL (H),FEY (A),CAM (A),TWE (H),AJA (A),GRO (H),SPA (A),PEC (A),PSV (H),NEC (H),EXC (A),HEE (H),GAE (A),UTR (H),FEY (H),GRO (A),FOR (H),NEC (A),TWE (A),SPA (H),EXC (H),PSV (A),WIL (A),CAM (H),TEL (A),AJA (H),PEC (H),ADO (A)
CAM,EXC (H),FOR (A),FEY (H),TWE (H),TEL (A),,NEC (H),,ADO (A),PEC (A),AZ (H),WIL (A),GAE (H),PSV (H),UTR (A),SPA (H),HEE (A),AJA (A),GRO (H),NEC (A),WIL (H),GAE (A),TWE (A),UTR (H),PSV (A),PEC (H),SPA (A),ADO (H),FEY (A),TEL (H),FOR (H),AZ (A),EXC (A),HEE (H),GRO (A),AJA (H)
EXC,CAM (A),PSV (H),NEC (A),SPA (H),WIL (A),,UTR (H),,AJA (A),GRO (H),HEE (A),FOR (A),TWE (H),GAE (H),FEY (A),TEL (H),ADO (A),PEC (A),AZ (H),SPA (A),FEY (H),FOR (H),UTR (A),AJA (H),TWE (A),HEE (H),GAE (A),NEC (H),AZ (A),PEC (H),GRO (A),WIL (H),CAM (H),PSV (A),ADO (H),TEL (A)
FEY,SPA (A),GAE (H),CAM (A),ADO (H),NEC (A),,PEC (A),,UTR (H),AZ (H),TEL (A),PSV (A),FOR (H),HEE (A),EXC (H),AJA (H),WIL (A),GRO (A),TWE (H),PSV (H),EXC (A),PEC (H),AZ (A),NEC (H),TEL (H),AJA (A),HEE (H),GAE (A),CAM (H),FOR (A),ADO (A),SPA (H),WIL (H),UTR (A),TWE (A),GRO (H)
FOR,PSV (A),CAM (H),AZ (H),GRO (A),ADO (A),,AJA (H),,WIL (A),TWE (H),NEC (A),EXC (H),FEY (A),TEL (H),GAE (A),HEE (H),PEC (H),UTR (A),SPA (H),TWE (A),PSV (H),EXC (A),PEC (A),ADO (H),AZ (A),UTR (H),NEC (H),HEE (A),TEL (A),FEY (H),CAM (A),GRO (H),AJA (A),GAE (H),WIL (H),SPA (A)
GAE,WIL (H),FEY (A),ADO (H),AZ (A),UTR (A),,GRO (H),,NEC (A),SPA (H),PEC (A),TEL (H),CAM (A),EXC (A),FOR (H),PSV (A),TWE (H),HEE (A),AJA (H),GRO (A),AZ (H),CAM (H),ADO (A),PEC (H),AJA (A),TEL (A),EXC (H),FEY (H),TWE (A),NEC (H),SPA (A),UTR (H),PSV (H),FOR (A),HEE (H),WIL (A)
GRO,UTR (H),ADO (A),PSV (A),FOR (H),TWE (H),,GAE (A),,PEC (H),EXC (A),AJA (H),NEC (A),SPA (H),AZ (A),HEE (H),WIL (H),TEL (A),FEY (H),CAM (A),GAE (H),AJA (A),SPA (A),NEC (H),AZ (H),PEC (A),WIL (A),TEL (H),UTR (A),PSV (H),HEE (A),EXC (H),FOR (A),ADO (H),TWE (A),CAM (H),FEY (A)
HEE,TWE (H),AJA (A),PEC (H),WIL (A),AZ (H),,TEL (H),,SPA (A),PSV (A),EXC (H),ADO (A),NEC (H),FEY (H),GRO (A),FOR (A),CAM (H),GAE (H),UTR (A),AZ (A),SPA (H),TWE (A),AJA (H),TEL (A),WIL (H),EXC (A),FEY (A),FOR (H),PEC (A),GRO (H),NEC (A),ADO (H),UTR (H),CAM (A),GAE (A),PSV (H)
