fixture,off_dif,def_dif,fdr_kee,fdr_mid_att,fdr_def
ADO (H),1.2417457210904175,0.6131031864468655,0.06388025915790758,0.14124558790682484,0.10256292353236621
ADO (A),0.9329403053376342,0.8160417703057347,0.23449021829127004,0.617198154415063,0.4258441863531665
AJA (H),1.005052343768328,0.9361382005695402,0.40075723048641115,0.49103993757300546,0.4458985840297083
AJA (A),0.7551093791184113,1.2460021270983856,0.8335703140854916,0.8618616115920041,0.8477159628387478
AZ (H),0.9387884572509481,0.9782223604676026,0.46584204369184923,0.6072393292095264,0.5365406864506879
AZ (A),0.7053244276018507,1.3020162420209813,0.8827538405420716,0.9049109770248394,0.8938324087834555
CAM (H),1.3091731901572456,0.6098128294534118,0.062275932840886034,0.08464243198634613,0.07345918241361608
CAM (A),0.9835994721146382,0.8116622974776179,0.22923200648208236,0.5290621553734841,0.37914708092778326
EXC (H),1.2645526216618002,0.7352729183832144,0.14868729778605788,0.11977074318600045,0.13422902048602917
EXC (A),0.9500754372905644,0.978649968290945,0.4665111478227337,0.587824335418759,0.5271677416207463
FEY (H),0.8436967480935441,1.0930111268919802,0.642866679123983,0.756436147846802,0.6996514134853925
FEY (A),0.6338807441893703,1.4548003577047102,0.9632963802307966,0.9482028815087471,0.9557496308697718
FOR (H),1.3198673920756452,0.7030819618474894,0.1212426180249227,0.07750601242162158,0.09937431522327214
FOR (A),0.9916341702284621,0.9358037301047002,0.40024839692100367,0.514834180786576,0.4575412888537898
GAE (H),1.4551600014665174,0.7265185370003671,0.14084268509066633,0.021509498104321567,0.08117609159749395
GAE (A),1.093281332100063,0.9669978662638917,0.44831856523302294,0.33917891433703673,0.39374873978502983
GRO (H),1.0373904385469754,0.9968638169476983,0.49507503530052166,0.43398861604429595,0.4645318256724088
GRO (A),0.7794054258084981,1.3268280640492673,0.9008720109033824,0.8366314551214218,0.8687517330124022
HEE (H),1.1030312620204852,0.966682987317351,0.44782827126264013,0.32345798490932254,0.38564312808598133
HEE (A),0.8287222616581229,1.286657309459691,0.8704259267112291,0.7768079914646076,0.8236169590879183
NEC (H),1.075332588791364,1.010625813099139,0.5166820070257128,0.36884667227651635,0.44276433965111456
NEC (A),0.8079118749413225,1.34514531300608,0.9128697860104148,0.8034405543033653,0.85815517015689
PEC (H),1.3867302911570707,0.7140226081871959,0.1301398310396063,0.04277947630717227,0.08645965367338929
PEC (A),1.0418691679621426,0.9503657558855217,0.42254703350797956,0.42616761926017555,0.4243573263840775
PSV (H),0.8750587141234127,1.243170700593267,0.8307730924042107,0.7107089957554792,0.770741044079845
PSV (A),0.6574434121872926,1.6546631003234393,0.995017426687514,0.9361105636147808,0.9655639951511474
SPA (H),1.1796742111025713,0.752231864361263,0.16470021562047465,0.2122073104573493,0.18845376303891198
SPA (A),0.8863051428423873,1.0012223649190701,0.5019196053495687,0.6933815434082432,0.597650574378906
TEL (H),1.3598905192911315,0.8608233386391113,0.2918942324788645,0.05480132798063686,0.17334778022975067
TEL (A),1.0217040854218835,1.145757870309866,0.7169368706095115,0.46156537460620706,0.5892511226078593
TWE (H),0.8069203615393946,1.0177253033121354,0.5278134042467673,0.8046594738258239,0.6662364390362956
TWE (A),0.6062501490374786,1.3545947510285063,0.9186183429792835,0.9599849639232995,0.9393016534512915
UTR (H),1.0082619432562847,0.8777936050826944,0.31523796325666487,0.485349946087103,0.40029395467188394
UTR (A),0.7575207944955274,1.1683453345040058,0.7462321930283051,0.859483306478767,0.8028577497535361
WIL (H),1.3456731946068623,0.6088988413996748,0.06183591025614778,0.06217420439247756,0.06200505732431267
WIL (A),1.01102241766435,0.8104457772475857,0.22778321300966953,0.48045850705309157,0.35412086003138055
